videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions,idioma_detectado
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552562618762871566,1758468030,2025-09-21T15:20:30.000Z,"First off, I can't even fit in a size 0 lululemon jacket.",14883,False,False,,8.0,7365177079740285995,nataliesmith852,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/04fb10debc383c41b5c8db53a48cbe52~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b777d176&x-expires=1774612800&x-signature=eXH10xmUCNy9YP7f76LbX%2FiYO0c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552785898472768311,1758520082,2025-09-22T05:48:02.000Z,She didn’t see the 1 in front of the 0 probably,44030,False,False,,11.0,7011722049388577797,illyriandoll,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d277132531ac81f638070e34fbad6d6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7032d912&x-expires=1774612800&x-signature=2pZ%2FiJw0bfiGEqaXpIpUM40%2BJdw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552532950324314910,1758461129,2025-09-21T13:25:29.000Z,Idk how girlies are squeezing into 2 sizes smaller at lulu. I can JUST fit in the correct size,1563,False,False,,3.0,6933594832163177477,imliterbeeinsane,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a43ff2e74aa312c80098ee2075c34130~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ce21523&x-expires=1774612800&x-signature=qQOopORcqT5ddIgzuEcSVEyyuGo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552550536177582861,1758465257,2025-09-21T14:34:17.000Z,Im a size 2 and the size 0 arms are so tight 😭,23179,False,False,,16.0,6804927288237523973,lbutterfliesl,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/cac36b64553571d7e1b7b8820a3fc04c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4d886ab6&x-expires=1774612800&x-signature=sJkxwpAOsWd9%2BZiUR2FTTooqn2k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552561072814293773,1758467691,2025-09-21T15:14:51.000Z,Girl that size 6 looks fine,20404,True,False,,14.0,6557492560503291910,a.alimac,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1b401aceaf9b40ad6450ffcef676f96f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8b708981&x-expires=1774612800&x-signature=%2FBFTOjDbFuJvUnIYjoZIhUPLVDA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552978645112095518,1758564903,2025-09-22T18:15:03.000Z,"i think you should keep the size 6 it doesnt look too tight, especially if you will continue to lose weight",1380,True,False,,1.0,7128233974555657258,morenita.bonita_,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/9df4738b9815f854fbeb16bc0eb7fc07~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1eca3a0d&x-expires=1774612800&x-signature=8PtL7irMpZArb66QMeT3TaiWO%2BM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552564115156435767,1758468385,2025-09-21T15:26:25.000Z,no the 6 looks good on u!,881,True,False,,1.0,6721166533328749573,ch4r1sh,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3950353b8df1e9a8421eadbdb05a078a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f55f68db&x-expires=1774612800&x-signature=qubRfZh3TOiHWr%2B8Djw54fOjfqE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552334837681472270,1758415013,2025-09-21T00:36:53.000Z,I’m a size 8 I got a size 6 with fleece inside I was getting suffocated I can barely wear it,7815,True,False,,2.0,7122225539960685611,ibeatupmen4,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9973ff1cf1680169b2b31ed938bce7d2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5a797be6&x-expires=1774612800&x-signature=%2FRcKLvmfRQ6hKZ97Q%2FnkzwDf7AY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552460772376609566,1758444436,2025-09-21T08:47:16.000Z,The sizing for Lulu ia pretty spot on you don’t need to size up or down tbh,2200,False,False,,5.0,1849116,sk1ttles02,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/cbcea008cb438856c525bcf360a40665~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7b222b47&x-expires=1774612800&x-signature=scUdfymjXI4%2FE0%2By2eGdq4QCiQg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552538535174603551,1758462434,2025-09-21T13:47:14.000Z,Lulu allows you to go a size down in most things. But 4 sizes is crazy!,734,True,False,,0.0,6788775234906883078,socratesha,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/be83f226f54ffe0a6c6f13164a9f7494~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2355b32&x-expires=1774612800&x-signature=eMXh1NdUuoYDxgKpxU0JQVEUIPs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en
