videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions,idioma_detectado,pais_busqueda
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7615816222882218766,1773195414,2026-03-11T02:16:54.000Z,Eastdih owns this trend n bro ain’t even do it 😭💔,33911,False,False,,20.0,7230539026264802350,dcwa_dan,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/581ccc689cd4fe446807cf179ebf989e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=818d054c&x-expires=1774612800&x-signature=xoKx8IW728vFtRl1pJRuWrMYx74%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,['Eastdih'],"[{'nickName': 'astdih', 'profileUrl': 'https://www.tiktok.com/@undefined'}]",en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7615821717475246879,1773196706,2026-03-11T02:38:26.000Z,Call your uber to my crib 😭😭,19396,False,False,,20.0,7457081534639146030,havahsjwjhdhehx,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/7ca03aabcf8a886bc48f71349a3cad89~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6de463e6&x-expires=1774612800&x-signature=HDjDDfm7AtRnDAHdua0LAtgB55Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7615793078490530573,1773190028,2026-03-11T00:47:08.000Z,Idk why yall calling her uber…she ate!,17166,True,False,,12.0,7506699457157973038,_.zaza_1,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/c5fa15c73618f552d29fb658fb566aa1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e1173f4f&x-expires=1774612800&x-signature=h9a23zXwTf9bSDfoaku%2BvqtdoZM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7615804163942777614,1773192599,2026-03-11T01:29:59.000Z,RIGHTT… smh haters 😒😒,791,False,False,7615793078490530573,,7451653792214484014,alissa09082,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/19416e216bd567822c787cba76bbb6c3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=55dbe709&x-expires=1774612800&x-signature=rHEsD4ZVcDrRCuTlnlVXH8%2BkaSA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7615792974177305357,1773190004,2026-03-11T00:46:44.000Z,doing it js to show the clothes😭,42,False,False,,44.0,7544252187149861943,chasinnarc,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/07e355bd8ebf6826dac9affa46e69318~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=94476ff0&x-expires=1774612800&x-signature=C1o2VW9W2e%2BpdMJ6AiY0scXBljc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7616025666257912606,1773244229,2026-03-11T15:50:29.000Z,"You don’t need no uber, I’ll come pick you up",4270,False,False,,4.0,6696225541404967942,badbitxhnay,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c9247d9e96e9d04941f1d881604a66d0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dc329443&x-expires=1774612800&x-signature=yob0Jx4SCBAt5hZZBNgIQmI%2Bozg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7617215090764743438,1773521112,2026-03-14T20:45:12.000Z,Sorry but alissa09082 did it better🫶🏽🥹,39,False,False,,0.0,7570496178791859213,nessa9177,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1823bb70857768f2fe7c4a36e353e1ff~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b5a18dff&x-expires=1774612800&x-signature=VK3008IEyuKZaaxWhcxlQ2Zhtkk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,['alissa09082'],"[{'nickName': 'lissa09082', 'profileUrl': 'https://www.tiktok.com/@undefined'}]",en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7616340597318943518,1773317570,2026-03-12T12:12:50.000Z,[Sticker] Wear that lulu again,112,False,False,,6.0,7365675496196539434,maijzzzz,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/568bd35a294318f7b21b67cbfd1effbd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=54e62721&x-expires=1774612800&x-signature=cjoXwsQpVle1PzLT7j8NdLYPXy8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7616332762211287821,1773315704,2026-03-12T11:41:44.000Z,Got everything but the Nike tech 😅,9,False,False,,2.0,6739645417572860934,marie110910,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/5fcbccde6832b376f6784f7681556fc6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7d4e4529&x-expires=1774612800&x-signature=yEuwocUgI7MigTBCeZJwaqfiUiE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,https://www.tiktok.com/@alissa09082/video/7615453695496441102,7615737583150875422,1773177144,2026-03-10T21:12:24.000Z,where eastdih at,4553,False,False,,43.0,7333013400270734379,lucycloseonly1311,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/a8944dce6fbdebe7aed3d872c791c715~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5ef8fb47&x-expires=1774612800&x-signature=W0OcR8I%2BPXe%2FsAVeTR1NSZgRyeQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[],en,GB
