videoWebUrl,submittedVideoUrl,input,comment_id,createTime,createTimeISO,text,likes,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,username,avatarThumbnail,mentions,detailedMentions,idioma_detectado,region_search,pais_busqueda,platform,text_clean,timestamp,sentiment_stars,sentiment_confidence,sentiment_label
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552562618762871566,1758468030,2025-09-21T15:20:30.000Z,"First off, I can't even fit in a size 0 lululemon jacket.",14883,False,False,,8.0,7365177079740285995,nataliesmith852,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/04fb10debc383c41b5c8db53a48cbe52~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b777d176&x-expires=1774612800&x-signature=eXH10xmUCNy9YP7f76LbX%2FiYO0c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,"First off, I can't even fit in a size 0 lululemon jacket.",2025-09-21 15:20:30+00:00,1,0.42167210578918457,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552785898472768311,1758520082,2025-09-22T05:48:02.000Z,She didn’t see the 1 in front of the 0 probably,44030,False,False,,11.0,7011722049388577797,illyriandoll,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d277132531ac81f638070e34fbad6d6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7032d912&x-expires=1774612800&x-signature=2pZ%2FiJw0bfiGEqaXpIpUM40%2BJdw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,She didn’t see the 1 in front of the 0 probably,2025-09-22 05:48:02+00:00,1,0.42512205243110657,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552532950324314910,1758461129,2025-09-21T13:25:29.000Z,Idk how girlies are squeezing into 2 sizes smaller at lulu. I can JUST fit in the correct size,1563,False,False,,3.0,6933594832163177477,imliterbeeinsane,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a43ff2e74aa312c80098ee2075c34130~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ce21523&x-expires=1774612800&x-signature=qQOopORcqT5ddIgzuEcSVEyyuGo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,Idk how girlies are squeezing into 2 sizes smaller at lulu. I can JUST fit in the correct size,2025-09-21 13:25:29+00:00,3,0.28147536516189575,neutro
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552550536177582861,1758465257,2025-09-21T14:34:17.000Z,Im a size 2 and the size 0 arms are so tight 😭,23179,False,False,,16.0,6804927288237523973,lbutterfliesl,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/cac36b64553571d7e1b7b8820a3fc04c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4d886ab6&x-expires=1774612800&x-signature=sJkxwpAOsWd9%2BZiUR2FTTooqn2k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,Im a size 2 and the size 0 arms are so tight 😭,2025-09-21 14:34:17+00:00,1,0.4331096410751343,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552561072814293773,1758467691,2025-09-21T15:14:51.000Z,Girl that size 6 looks fine,20404,True,False,,14.0,6557492560503291910,a.alimac,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1b401aceaf9b40ad6450ffcef676f96f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8b708981&x-expires=1774612800&x-signature=%2FBFTOjDbFuJvUnIYjoZIhUPLVDA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,Girl that size 6 looks fine,2025-09-21 15:14:51+00:00,4,0.3891206979751587,positivo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552978645112095518,1758564903,2025-09-22T18:15:03.000Z,"i think you should keep the size 6 it doesnt look too tight, especially if you will continue to lose weight",1380,True,False,,1.0,7128233974555657258,morenita.bonita_,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/9df4738b9815f854fbeb16bc0eb7fc07~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1eca3a0d&x-expires=1774612800&x-signature=8PtL7irMpZArb66QMeT3TaiWO%2BM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,"i think you should keep the size 6 it doesnt look too tight, especially if you will continue to lose weight",2025-09-22 18:15:03+00:00,3,0.5362430810928345,neutro
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552564115156435767,1758468385,2025-09-21T15:26:25.000Z,no the 6 looks good on u!,881,True,False,,1.0,6721166533328749573,ch4r1sh,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3950353b8df1e9a8421eadbdb05a078a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f55f68db&x-expires=1774612800&x-signature=qubRfZh3TOiHWr%2B8Djw54fOjfqE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,no the 6 looks good on u!,2025-09-21 15:26:25+00:00,1,0.3675795793533325,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552334837681472270,1758415013,2025-09-21T00:36:53.000Z,I’m a size 8 I got a size 6 with fleece inside I was getting suffocated I can barely wear it,7815,True,False,,2.0,7122225539960685611,ibeatupmen4,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9973ff1cf1680169b2b31ed938bce7d2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5a797be6&x-expires=1774612800&x-signature=%2FRcKLvmfRQ6hKZ97Q%2FnkzwDf7AY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,I’m a size 8 I got a size 6 with fleece inside I was getting suffocated I can barely wear it,2025-09-21 00:36:53+00:00,1,0.533531129360199,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552460772376609566,1758444436,2025-09-21T08:47:16.000Z,The sizing for Lulu ia pretty spot on you don’t need to size up or down tbh,2200,False,False,,5.0,1849116,sk1ttles02,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/cbcea008cb438856c525bcf360a40665~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7b222b47&x-expires=1774612800&x-signature=scUdfymjXI4%2FE0%2By2eGdq4QCiQg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,The sizing for Lulu ia pretty spot on you don’t need to size up or down tbh,2025-09-21 08:47:16+00:00,4,0.36093634366989136,positivo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552538535174603551,1758462434,2025-09-21T13:47:14.000Z,Lulu allows you to go a size down in most things. But 4 sizes is crazy!,734,True,False,,0.0,6788775234906883078,socratesha,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/be83f226f54ffe0a6c6f13164a9f7494~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2355b32&x-expires=1774612800&x-signature=eMXh1NdUuoYDxgKpxU0JQVEUIPs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,Lulu allows you to go a size down in most things. But 4 sizes is crazy!,2025-09-21 13:47:14+00:00,4,0.5031452775001526,positivo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7553006969860064030,1758571505,2025-09-22T20:05:05.000Z,This is an 8. I tried on a 6 at the store and it was TIGHT 😩,430,False,False,,0.0,7023606456123933701,mar_luv11,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/59fcc68a92c5873ae01d381b9f3c13ac~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cefae25a&x-expires=1774612800&x-signature=9WJIrHZflqiCiE%2FsfGI0ZOgZi%2Fk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,This is an 8. I tried on a 6 at the store and it was TIGHT 😩,2025-09-22 20:05:05+00:00,5,0.30806049704551697,positivo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552600970321249079,1758476969,2025-09-21T17:49:29.000Z,im a size 4 i couldnt even fit in the 0🤣😩,1197,True,False,,0.0,3873175,lauranwardd,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/654efffdc21b7eb74cd3e6c3df131315~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7834f6da&x-expires=1774612800&x-signature=EiNEBz%2FkePl8dEqJGs55jwHHyTY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,im a size 4 i couldnt even fit in the 0🤣😩,2025-09-21 17:49:29+00:00,1,0.40023425221443176,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552586626633155341,1758473649,2025-09-21T16:54:09.000Z,It’s bc they be busting out the zipper getting them 5x smaller then their size.,167,False,False,,0.0,22843437,alexiadanae_,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/8d0d36dc168c3e402e59c5dddbaa45e0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=44eeece4&x-expires=1774612800&x-signature=XNobTaei899nEn02yvbQ939UeQ4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,It’s bc they be busting out the zipper getting them 5x smaller then their size.,2025-09-21 16:54:09+00:00,2,0.32649707794189453,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552595872280216351,1758475786,2025-09-21T17:29:46.000Z,She was prolly rage baiting and it worked so yall comments hating boosted her algorithm and made her money Lol,390,False,False,,5.0,7518545875078349855,dokiyr,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/48f849a3a07b153d5c5c9b7da0d4e374~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a4ce8fdb&x-expires=1774612800&x-signature=O1vAG%2FEq%2FEUEDayTvXvVBBQhlyM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,She was prolly rage baiting and it worked so yall comments hating boosted her algorithm and made her money Lol,2025-09-21 17:29:46+00:00,1,0.2933958172798157,negativo
https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,https://www.tiktok.com/@rose32xz/video/7552319724474912031,7552557383517504311,1758466829,2025-09-21T15:00:29.000Z,Mannn I’m a size 2-4 in lulu and the 2 is lowkey tight. I don’t like how it feels my shoulder feel a mess 😭😭😭.,125,False,False,,1.0,6786020937777316869,jaay.._,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/cd9e668c2e54cc82afa3eddfa855ff48~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=882d1d98&x-expires=1774612800&x-signature=n0zRPBBtiLnNuk4x29XOrfG7S4o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],en,US,,tiktok,Mannn I’m a size 2-4 in lulu and the 2 is lowkey tight. I don’t like how it feels my shoulder feel a mess 😭😭😭.,2025-09-21 15:00:29+00:00,2,0.4551979899406433,negativo
